ID,vendorName,email,phone,address,country,currency,taxID,externalID,status,assignedManager,createdAt,createdBy,modifiedAt,modifiedBy
6648354f-1b9d-462e-a4de-c8c1b7308553,vendorName-6648354,email-6648354,phone-6648354,address-6648354,country-6648354,354,taxID-6648354,externalID-6648354,PENDING,assignedManager-6648354,2005-11-10T00:00:00.000Z,createdBy.3yhwi@example.org,2007-12-11T00:00:00.000Z,modifiedBy.3yhwi@example.com
16156972-e7ef-40b3-8e07-3b12fb480727,vendorName-16156972,email-16156972,phone-16156972,address-16156972,country-16156972,972,taxID-16156972,externalID-16156972,APPROVED,assignedManager-16156972,2003-09-21T00:00:00.000Z,createdBy.9mass@example.net,2020-05-25T00:00:00.000Z,modifiedBy.9mass@example.org
16156973-22a0-4330-a2fe-d925a06cc6a6,vendorName-16156973,email-16156973,phone-16156973,address-16156973,country-16156973,973,taxID-16156973,externalID-16156973,SUSPENDED,assignedManager-16156973,2005-01-28T00:00:00.000Z,createdBy.9mast@example.com,2018-08-04T00:00:00.000Z,modifiedBy.9mast@example.com
16156974-e0d6-4bd6-b0e6-1b783ae4c98d,vendorName-16156974,email-16156974,phone-16156974,address-16156974,country-16156974,974,taxID-16156974,externalID-16156974,SUSPENDED,assignedManager-16156974,2003-02-28T00:00:00.000Z,createdBy.9masu@example.org,2014-08-19T00:00:00.000Z,modifiedBy.9masu@example.net
16156975-f79d-4c7d-8ca2-e638f520c531,vendorName-16156975,email-16156975,phone-16156975,address-16156975,country-16156975,975,taxID-16156975,externalID-16156975,PENDING,assignedManager-16156975,2012-04-25T00:00:00.000Z,createdBy.9masv@example.org,2001-04-21T00:00:00.000Z,modifiedBy.9masv@example.com
16156976-b37c-460e-918a-e52691aaca33,vendorName-16156976,email-16156976,phone-16156976,address-16156976,country-16156976,976,taxID-16156976,externalID-16156976,PENDING,assignedManager-16156976,2002-01-17T00:00:00.000Z,createdBy.9masw@example.com,2014-03-18T00:00:00.000Z,modifiedBy.9masw@example.org
16156977-4199-44fe-aab5-15fff96ae7f0,vendorName-16156977,email-16156977,phone-16156977,address-16156977,country-16156977,977,taxID-16156977,externalID-16156977,PENDING,assignedManager-16156977,2018-10-08T00:00:00.000Z,createdBy.9masx@example.net,2023-08-27T00:00:00.000Z,modifiedBy.9masx@example.org
16156978-37f5-4f33-ba0a-4694bd744193,vendorName-16156978,email-16156978,phone-16156978,address-16156978,country-16156978,978,taxID-16156978,externalID-16156978,DELETED,assignedManager-16156978,2005-11-25T00:00:00.000Z,createdBy.9masy@example.org,2001-10-05T00:00:00.000Z,modifiedBy.9masy@example.org
16156979-3178-4349-9cbd-5e21883cbe61,vendorName-16156979,email-16156979,phone-16156979,address-16156979,country-16156979,979,taxID-16156979,externalID-16156979,PENDING,assignedManager-16156979,2012-04-13T00:00:00.000Z,createdBy.9masz@example.org,2020-11-02T00:00:00.000Z,modifiedBy.9masz@example.com
16156980-ad11-47e4-b7c5-eaa6fa6d4764,vendorName-16156980,email-16156980,phone-16156980,address-16156980,country-16156980,980,taxID-16156980,externalID-16156980,SUSPENDED,assignedManager-16156980,2009-07-01T00:00:00.000Z,createdBy.9mat0@example.com,2009-11-23T00:00:00.000Z,modifiedBy.9mat0@example.org
16156981-57dc-4de4-88cb-781bc35a9546,vendorName-16156981,email-16156981,phone-16156981,address-16156981,country-16156981,981,taxID-16156981,externalID-16156981,SUSPENDED,assignedManager-16156981,2016-07-12T00:00:00.000Z,createdBy.9mat1@example.net,2012-05-13T00:00:00.000Z,modifiedBy.9mat1@example.com
16156982-f5b5-45b1-ac59-9680ddc5dc6b,vendorName-16156982,email-16156982,phone-16156982,address-16156982,country-16156982,982,taxID-16156982,externalID-16156982,APPROVED,assignedManager-16156982,2000-11-26T00:00:00.000Z,createdBy.9mat2@example.org,2004-02-26T00:00:00.000Z,modifiedBy.9mat2@example.net
16156983-6b52-4dd1-ba39-3843a1814d26,vendorName-16156983,email-16156983,phone-16156983,address-16156983,country-16156983,983,taxID-16156983,externalID-16156983,SUSPENDED,assignedManager-16156983,2012-04-24T00:00:00.000Z,createdBy.9mat3@example.net,2012-08-25T00:00:00.000Z,modifiedBy.9mat3@example.com
16156984-9d18-49c7-9dd3-464178ccd2eb,vendorName-16156984,email-16156984,phone-16156984,address-16156984,country-16156984,984,taxID-16156984,externalID-16156984,DELETED,assignedManager-16156984,2004-12-24T00:00:00.000Z,createdBy.9mat4@example.net,2000-02-22T00:00:00.000Z,modifiedBy.9mat4@example.com
16156985-bf6e-4056-8b46-436a7e4350fa,vendorName-16156985,email-16156985,phone-16156985,address-16156985,country-16156985,985,taxID-16156985,externalID-16156985,PENDING,assignedManager-16156985,2016-04-09T00:00:00.000Z,createdBy.9mat5@example.net,2007-04-17T00:00:00.000Z,modifiedBy.9mat5@example.com
16156986-87ac-46fc-9412-ea76dcca2677,vendorName-16156986,email-16156986,phone-16156986,address-16156986,country-16156986,986,taxID-16156986,externalID-16156986,DELETED,assignedManager-16156986,2022-04-25T00:00:00.000Z,createdBy.9mat6@example.net,2022-02-24T00:00:00.000Z,modifiedBy.9mat6@example.net
16156987-1025-4bab-912b-5d88faabe94a,vendorName-16156987,email-16156987,phone-16156987,address-16156987,country-16156987,987,taxID-16156987,externalID-16156987,PENDING,assignedManager-16156987,2007-07-14T00:00:00.000Z,createdBy.9mat7@example.net,2016-12-29T00:00:00.000Z,modifiedBy.9mat7@example.org
16156988-79c5-467f-a3bc-0cd9678266b4,vendorName-16156988,email-16156988,phone-16156988,address-16156988,country-16156988,988,taxID-16156988,externalID-16156988,DELETED,assignedManager-16156988,2018-12-22T00:00:00.000Z,createdBy.9mat8@example.com,2022-10-14T00:00:00.000Z,modifiedBy.9mat8@example.net
16156989-7ec6-4055-ac3b-d1a2e1c4d754,vendorName-16156989,email-16156989,phone-16156989,address-16156989,country-16156989,989,taxID-16156989,externalID-16156989,PENDING,assignedManager-16156989,2003-07-03T00:00:00.000Z,createdBy.9mat9@example.com,2007-07-18T00:00:00.000Z,modifiedBy.9mat9@example.net
16156990-4cd5-432d-847d-5ee73c7e5735,vendorName-16156990,email-16156990,phone-16156990,address-16156990,country-16156990,990,taxID-16156990,externalID-16156990,PENDING,assignedManager-16156990,2016-08-12T00:00:00.000Z,createdBy.9mata@example.org,2010-10-26T00:00:00.000Z,modifiedBy.9mata@example.org
16156991-82b2-4eb3-876a-3edf3a3b337d,vendorName-16156991,email-16156991,phone-16156991,address-16156991,country-16156991,991,taxID-16156991,externalID-16156991,PENDING,assignedManager-16156991,2011-01-25T00:00:00.000Z,createdBy.9matb@example.net,2021-06-21T00:00:00.000Z,modifiedBy.9matb@example.com
16156992-f4a8-4272-b891-81ec71c9754c,vendorName-16156992,email-16156992,phone-16156992,address-16156992,country-16156992,992,taxID-16156992,externalID-16156992,APPROVED,assignedManager-16156992,2014-08-06T00:00:00.000Z,createdBy.9matc@example.com,2010-09-24T00:00:00.000Z,modifiedBy.9matc@example.com
